symbol,month,txdate,entry_date,mcap,value,value_od,value_10,pct_cap,pct_cap_od,n_tx,n_insiders,n_od,stake_inc,ceo_cfo,director_only,r3m,r6m,r12m,r3m_QQQ,r6m_QQQ,r12m_QQQ,r3m_IWM,r6m_IWM,r12m_IWM,r3m_SPY,r6m_SPY,r12m_SPY
DY,2014-01,2014-01-10,2014-01-14,944365523,419850.000000,419850.000000,0,0.044458,0.044458,1,1,1,0.950450,0,1,0.134356,0.070464,0.193866,-0.023491,0.099646,0.169614,-0.033914,-0.000509,0.025766,0.007393,0.083809,0.115061
CBZ,2014-01,2014-01-15,2014-01-16,429783440,1764.610416,1764.610416,0,0.000411,0.000411,2,2,2,0.000161,1,0,0.012387,-0.036036,-0.042793,-0.018412,0.080411,0.158317,-0.026959,-0.027060,0.016054,0.015194,0.071017,0.114793
ASRV,2014-01,2014-01-15,2014-01-22,58988040,1199.983680,1199.983680,0,0.002034,0.002034,2,2,2,0.002022,1,0,0.156951,0.085202,-0.008969,-0.016459,0.105237,0.189776,-0.025757,-0.013730,0.021447,0.021566,0.087737,0.140178
AUBN,2014-01,2014-01-24,2014-01-27,92787210,5484.750000,5484.750000,0,0.005911,0.005911,7,7,7,0.028333,0,0,-0.049969,-0.001234,-0.028994,0.013144,0.136856,0.199098,-0.004834,0.017654,0.075557,0.054504,0.121420,0.161293
TRST,2014-02,2014-02-04,2014-02-06,601659240,24993.060000,24993.060000,0,0.004154,0.004154,1,1,1,0.032482,0,0,0.046632,0.065285,0.145078,0.014713,0.108673,0.220960,-0.001824,0.021884,0.108239,0.062178,0.086312,0.180901
D,2014-02,2014-02-07,2014-02-10,38926488000,238874.400000,238874.400000,0,0.000614,0.000614,1,1,1,,0,1,0.020951,0.003451,0.158245,0.011346,0.097201,0.207262,0.015974,0.027187,0.091188,0.059041,0.086539,0.171432
CBZ,2014-02,2014-02-18,2014-02-18,436047100,1764.727328,1764.727328,0,0.000405,0.000405,2,2,2,0.000160,1,0,-0.068508,-0.054144,-0.011050,-0.018643,0.103643,0.205691,-0.051269,0.008052,0.072674,0.022444,0.086761,0.162870
ASRV,2014-02,2014-02-18,2014-02-24,59927340,699.992210,699.992210,0,0.001168,0.001168,1,1,1,0.001992,0,1,0.100877,0.030702,-0.065789,0.012979,0.109587,0.219787,-0.022686,-0.000101,0.066445,0.040320,0.092724,0.167957
TRST,2014-03,2014-03-11,2014-03-13,646996200,8812.810000,8812.810000,0,0.001362,0.001362,4,1,4,0.015925,0,1,-0.045519,0.032848,0.024402,0.033465,0.125710,0.193258,-0.011642,0.002609,0.061120,0.049793,0.091654,0.133316
INFU,2014-03,2014-03-13,2014-03-14,59985577,13900.000000,13900.000000,0,0.023172,0.023172,1,1,1,,1,0,-0.063380,0.038732,-0.070423,0.043516,0.127564,0.216835,-0.014092,-0.012193,0.062862,0.055949,0.088302,0.151671
AXGN,2014-03,2014-03-13,2014-03-17,56150320,5232.840000,5232.840000,0,0.009319,0.009319,2,1,2,0.006855,1,0,-0.125392,-0.260188,0.059561,0.035371,0.106976,0.208159,-0.013632,-0.027264,0.060995,0.047367,0.077774,0.137993
CBZ,2014-03,2014-03-17,2014-03-18,425447060,1999.798480,1999.798480,0,0.000470,0.000470,3,3,3,0.000711,1,0,-0.037778,-0.053333,0.001111,0.023502,0.103264,0.205431,-0.020987,-0.038639,0.054134,0.042820,0.078142,0.143459
HASI,2014-03,2014-03-14,2014-03-18,231718875,94130.950000,94130.950000,0,0.040623,0.040623,2,2,2,0.053860,1,0,0.010417,-0.003906,0.308594,0.023502,0.103264,0.205431,-0.020987,-0.038639,0.054134,0.042820,0.078142,0.143459
ASRV,2014-03,2014-03-17,2014-03-21,72326100,699.997973,699.997973,0,0.000968,0.000968,1,1,1,0.001624,0,1,-0.083636,-0.116364,-0.214545,0.045106,0.129140,0.230722,-0.000495,-0.032980,0.075072,0.057356,0.088179,0.149957
AUBN,2014-03,2014-03-28,2014-03-28,90164250,5605.600000,5605.600000,0,0.006217,0.006217,7,7,7,0.027553,0,0,-0.029721,0.014861,0.039628,0.079985,0.140637,0.239955,0.035473,-0.021325,0.106315,0.060686,0.076984,0.144693
CBZ,2014-04,2014-04-15,2014-04-15,424802400,2000.067357,2000.067357,0,0.000471,0.000471,3,3,3,0.000769,1,0,-0.017045,-0.047727,0.071591,0.126099,0.098810,0.282333,0.034577,-0.044170,0.153806,0.075856,0.028688,0.164788
ANGO,2014-04,2014-04-14,2014-04-16,486130840,13900.000000,13900.000000,0,0.002859,0.002859,1,1,1,0.038454,0,0,0.049392,0.130279,0.206156,0.115763,0.077345,0.263689,0.020649,-0.044947,0.140786,0.068599,0.011092,0.152383
ASRV,2014-04,2014-04-15,2014-04-21,68037900,699.982157,699.982157,0,0.001029,0.001029,1,1,1,0.001746,0,1,-0.076336,-0.118321,-0.106870,0.108550,0.092590,0.258391,0.006713,-0.035117,0.121256,0.060118,0.027070,0.142576
AUBN,2014-04,2014-04-29,2014-04-29,85974800,2841.600000,2841.600000,0,0.003305,0.003305,2,1,2,0.014616,0,1,0.029870,0.022078,0.096753,0.111434,0.155351,0.268804,0.022751,0.033074,0.127765,0.053999,0.066763,0.143540
AWRE,2014-04,2014-04-30,2014-05-01,125370200,143324.976000,0,143324.976000,0.114321,0.000000,4,1,0,0.003807,0,0,0.059259,0.059259,0.022222,0.086962,0.146944,0.258125,-0.002826,0.032974,0.104260,0.030147,0.068711,0.140816
CHTR,2014-05,2014-05-07,2014-05-07,13621594986,124473867.719000,0,124473867.719000,0.913798,0.000000,6,1,0,0.008917,0,0,0.102064,0.141843,0.311353,0.094917,0.177128,0.254130,0.018298,0.060426,0.120000,0.027211,0.087193,0.133569
INFU,2014-05,2014-05-07,2014-05-08,63116402,28000.000000,28000.000000,0,0.044362,0.044362,1,1,1,0.666667,1,0,-0.021583,0.255396,0.140288,0.092597,0.182015,0.271051,0.023751,0.075873,0.139925,0.022721,0.092719,0.149686
AIG,2014-05,2014-05-08,2014-05-09,75538336703,262947.000000,262947.000000,0,0.000348,0.000348,1,1,1,0.500000,0,1,0.005331,0.038081,0.142422,0.096300,0.176508,0.261277,0.024281,0.067732,0.130245,0.032952,0.092056,0.142465
AWRE,2014-05,2014-05-08,2014-05-09,123786100,152415.775000,0,152415.775000,0.123128,0.000000,6,1,0,0.005128,0,0,0.066998,0.064516,-0.024814,0.096300,0.176508,0.261277,0.024281,0.067732,0.130245,0.032952,0.092056,0.142465
EMR,2014-05,2014-05-08,2014-05-09,47020115999,701277.909000,701277.909000,0,0.001491,0.001491,2,2,2,0.326630,0,1,-0.058349,-0.020691,-0.090834,0.096300,0.176508,0.261277,0.024281,0.067732,0.130245,0.032952,0.092056,0.142465
ATEC,2014-05,2014-05-14,2014-05-19,128344989,80500.000000,80500.000000,0,0.062722,0.062722,3,2,3,0.100000,1,0,0.195652,0.000000,-0.007246,0.114321,0.171233,0.258780,0.042742,0.051735,0.142721,0.050658,0.093111,0.150866
CBZ,2014-05,2014-05-15,2014-05-19,408872310,1999.802634,1999.802634,0,0.000489,0.000489,3,3,3,0.000493,1,0,0.001172,0.024619,0.103165,0.114321,0.171233,0.258780,0.042742,0.051735,0.142721,0.050658,0.093111,0.150866
ASRV,2014-05,2014-05-15,2014-05-20,67474050,699.995572,699.995572,0,0.001037,0.001037,1,1,1,0.001745,0,1,-0.048000,-0.104000,-0.024000,0.124609,0.184227,0.264092,0.062527,0.074237,0.162548,0.062905,0.106415,0.157329
BWA,2014-05,2014-05-20,2014-05-21,11893898720,5328.300000,5328.300000,0,0.000045,0.000045,3,1,3,,0,0,0.053575,-0.054024,0.024434,0.114027,0.167760,0.258759,0.052699,0.057402,0.155425,0.056790,0.095387,0.151007
AXGN,2014-05,2014-05-20,2014-05-22,44176330,23900.200000,23900.200000,0,0.054102,0.054102,4,3,4,0.186047,1,0,0.057915,0.046332,0.166023,0.111440,0.167899,0.252096,0.044007,0.058183,0.138475,0.057302,0.094639,0.145459
FARM,2014-05,2014-05-22,2014-05-23,319403325,40166.900000,40166.900000,0,0.012576,0.012576,3,1,3,0.224266,0,1,0.115560,0.434364,0.215408,0.104993,0.161527,0.228585,0.032859,0.048033,0.115425,0.051456,0.096133,0.128607
HGBL,2014-05,2014-05-22,2014-05-27,10421790,7175.000000,7175.000000,0,0.068846,0.068846,4,1,4,1.000000,1,0,0.000000,-0.210526,-0.157895,0.096458,0.158105,0.233168,0.032291,0.046322,0.113174,0.051014,0.091697,0.132379
TRST,2014-05,2014-05-23,2014-05-28,628817350,25002.486000,25002.486000,0,0.003976,0.003976,1,1,1,0.005307,1,0,0.083333,0.095309,0.087824,0.100024,0.169132,0.234117,0.035155,0.055273,0.117909,0.051371,0.095293,0.131895
D,2014-05,2014-05-29,2014-05-30,39871788000,707643.553764,707643.553764,0,0.001775,0.001775,5,4,5,0.221395,0,0,0.027190,0.070019,0.058710,0.095640,0.166948,0.222838,0.036752,0.040801,0.115968,0.046623,0.085528,0.119587
AXGN,2014-06,2014-06-06,2014-06-10,44176330,50625.300000,50625.300000,0,0.114598,0.114598,9,3,9,0.472727,1,0,-0.098540,0.197080,0.200730,0.071150,0.135551,0.191784,-0.008938,0.019584,0.094406,0.023938,0.065594,0.099648
HGBL,2014-06,2014-06-11,2014-06-11,8450100,11100.000000,11100.000000,0,0.131359,0.131359,4,1,4,0.500000,1,0,0.300000,-0.200000,-0.166667,0.080284,0.117940,0.193724,0.001817,0.002826,0.102543,0.031335,0.052204,0.107055
ARES,2014-06,2014-06-11,2014-06-13,2241730300,189600.000000,189600.000000,0,0.008458,0.008458,1,1,1,2.533570,0,1,-0.022873,-0.078683,0.183898,0.080543,0.117955,0.185393,0.001926,-0.001014,0.100558,0.030639,0.044629,0.098247
CBZ,2014-06,2014-06-16,2014-06-17,410320500,1999.932675,1999.932675,0,0.000487,0.000487,3,3,3,0.000499,1,0,-0.016166,-0.042725,0.080831,0.077930,0.087091,0.193456,-0.018031,-0.024241,0.093659,0.033872,0.025419,0.102056
ASRV,2014-06,2014-06-16,2014-07-01,66346350,699.999888,699.999888,0,0.001055,0.001055,1,1,1,0.001750,0,1,-0.055556,-0.115079,-0.039683,0.043096,0.105604,0.149047,-0.082886,0.013082,0.057405,0.004656,0.064498,0.073934
BRTX,2014-06,2014-06-30,2014-07-02,9226080,25000.000000,25000.000000,0,0.270971,0.270971,1,1,1,,0,1,0.206278,0.552259,0.310797,0.024683,0.092388,0.147405,-0.092415,0.010878,0.053606,-0.009984,0.052834,0.071810
MERC,2014-06,2014-06-30,2014-07-02,673630524,7320783.360000,0,7320783.360000,1.086765,0.000000,15,1,0,0.130763,0,0,-0.123656,0.120968,0.279570,0.024683,0.092388,0.147405,-0.092415,0.010878,0.053606,-0.009984,0.052834,0.071810
DY,2014-07,2014-07-08,2014-07-08,1031531749,465762.450000,465762.450000,0,0.045153,0.045153,2,1,2,0.426061,0,1,-0.047415,0.143563,1.148502,0.026999,0.068195,0.137670,-0.078459,-0.002408,0.063108,-0.010595,0.028669,0.062761
CBZ,2014-07,2014-07-15,2014-07-17,419101150,1999.806340,1999.806340,0,0.000477,0.000477,3,3,3,0.000495,1,0,0.002336,-0.011682,0.161215,-0.027591,0.059703,0.213425,-0.038917,0.027605,0.133562,-0.043747,0.027373,0.107118
ASRV,2014-07,2014-07-15,2014-07-21,63903000,689.860000,689.860000,0,0.001080,0.001080,1,1,1,0.001771,0,1,-0.045455,-0.082645,0.020661,-0.014397,0.065014,0.199383,-0.041551,0.028111,0.109367,-0.031174,0.034397,0.094143
AUBN,2014-07,2014-07-23,2014-07-23,90127820,5544.000000,5544.000000,0,0.006151,0.006151,7,7,7,0.026814,0,0,-0.009214,-0.033170,0.130835,-0.006431,0.056972,0.166403,-0.048877,0.015039,0.090641,-0.025368,0.032880,0.078936
CROX,2014-07,2014-07-29,2014-07-31,1632223249,82093.000000,82093.000000,0,0.005030,0.005030,1,1,1,0.020334,0,0,-0.280403,-0.321361,-0.008822,0.055184,0.078966,0.190949,0.035902,0.070859,0.121142,0.037436,0.056882,0.111674
MERC,2014-07,2014-07-31,2014-08-04,638986668,1497656.000000,380000,1117656.000000,0.234380,0.059469,7,1,2,0.015557,0,0,0.265693,0.236496,0.229197,0.069505,0.076410,0.181243,0.044951,0.052478,0.108300,0.045480,0.052104,0.101180
D,2014-08,2014-08-06,2014-08-07,37849021000,972981.000000,972981.000000,0,0.002571,0.002571,1,1,1,1.822844,0,1,0.121120,0.217260,0.139288,0.081839,0.108033,0.183353,0.050913,0.085660,0.093114,0.068442,0.090083,0.109994
BRTX,2014-08,2014-08-01,2014-08-08,10526400,30000.000000,30000.000000,0,0.284998,0.284998,1,1,1,,0,1,0.247892,0.551433,0.686341,0.073162,0.093389,0.188280,0.042420,0.074132,0.095134,0.057219,0.074688,0.111210
AIG,2014-08,2014-08-11,2014-08-11,75077784044,249924.000000,249924.000000,0,0.000333,0.000333,1,1,1,,0,1,0.030045,-0.009765,0.207311,0.070665,0.083534,0.166150,0.037693,0.055510,0.075386,0.057494,0.066772,0.097949
ARCB,2014-08,2014-08-08,2014-08-12,872310619,16539.000000,16539.000000,0,0.001896,0.001896,1,1,1,0.102041,0,0,0.270375,0.149741,-0.031371,0.074491,0.100816,0.170709,0.045629,0.069688,0.080784,0.059976,0.079631,0.100803
CDXS,2014-08,2014-08-12,2014-08-14,81735831,133200.000000,133200.000000,0,0.162964,0.162964,1,1,1,0.463267,0,1,0.084906,0.580189,0.740566,0.064162,0.100260,0.152314,0.031850,0.070276,0.074078,0.047920,0.078158,0.090841
INSM,2014-08,2014-08-13,2014-08-14,577033380,1000001.250000,1000001.250000,0,0.173300,0.173300,1,1,1,0.518062,0,1,0.020030,0.239614,0.911721,0.064162,0.100260,0.152314,0.031850,0.070276,0.074078,0.047920,0.078158,0.090841
AXGN,2014-08,2014-08-12,2014-08-15,39822480,71210.000000,71210.000000,0,0.178819,0.178819,4,1,4,0.040445,0,1,0.125523,0.443515,0.652720,0.062394,0.104516,0.156437,0.032016,0.078855,0.087606,0.048431,0.082865,0.097238
AGM,2014-08,2014-08-18,2014-08-18,368887500,3271.500000,3271.500000,0,0.000887,0.000887,2,1,2,0.014045,0,1,-0.094542,-0.026214,-0.232918,0.051073,0.097005,0.141708,0.008624,0.066558,0.063312,0.040407,0.075545,0.084965
CBZ,2014-08,2014-08-15,2014-08-18,406503890,1999.894413,1999.894413,0,0.000492,0.000492,3,3,3,0.000501,1,0,0.023419,0.007026,0.148712,0.051073,0.097005,0.141708,0.008624,0.066558,0.063312,0.040407,0.075545,0.084965
CLAR,2014-08,2014-08-14,2014-08-18,259876200,20023.250000,20023.250000,0,0.007705,0.007705,1,1,1,0.401303,1,0,0.176036,-0.096154,-0.017751,0.051073,0.097005,0.141708,0.008624,0.066558,0.063312,0.040407,0.075545,0.084965
HASI,2014-08,2014-08-20,2014-08-21,313987006,165085.860000,165085.860000,0,0.052577,0.052577,2,2,2,0.058333,0,0,-0.041131,0.137532,0.356041,0.050799,0.095608,0.046584,0.013578,0.066369,0.012362,0.035314,0.063393,0.011219
ACRE,2014-08,2014-08-21,2014-08-25,352391908,123903.000000,123903.000000,0,0.035161,0.035161,2,1,2,1.216545,1,0,-0.026393,0.017595,0.102639,0.055617,0.098433,-0.002538,0.021982,0.065141,-0.039226,0.040076,0.065795,-0.046185
ASRV,2014-08,2014-08-15,2014-08-25,62775300,689.679940,689.679940,0,0.001099,0.001099,1,1,1,0.001800,0,1,-0.059574,-0.089362,0.008511,0.055617,0.098433,-0.002538,0.021982,0.065141,-0.039226,0.040076,0.065795,-0.046185
HGBL,2014-08,2014-08-22,2014-08-25,10703460,4625.000000,4625.000000,0,0.043210,0.043210,2,1,2,0.166667,1,0,-0.210526,0.000000,-0.263158,0.055617,0.098433,-0.002538,0.021982,0.065141,-0.039226,0.040076,0.065795,-0.046185
INFU,2014-08,2014-08-27,2014-08-27,62390578,127336.140000,127336.140000,0,0.204095,0.204095,7,1,7,0.293549,1,0,0.010676,-0.056940,0.021352,0.062824,0.095228,0.072964,0.019435,0.060809,-0.003807,0.041776,0.067672,0.014719
ATEC,2014-08,2014-08-29,2014-09-16,151929348,48000.000000,48000.000000,0,0.031594,0.031594,1,1,1,0.231875,0,0,-0.284153,-0.213115,-0.732696,0.008499,0.082009,0.089183,-0.006325,0.087728,0.036111,-0.008175,0.048014,0.018242
CBZ,2014-09,2014-09-15,2014-09-16,409895460,1999.932501,1999.932501,0,0.000488,0.000488,3,3,3,0.000503,1,0,-0.026995,0.061033,0.173709,0.008499,0.082009,0.089183,-0.006325,0.087728,0.036111,-0.008175,0.048014,0.018242
HGBL,2014-09,2014-09-16,2014-09-18,11548470,102788.500000,102788.500000,0,0.890062,0.890062,4,3,4,0.245000,1,0,-0.355556,-0.066667,-0.488889,0.042113,0.084445,0.064428,0.030539,0.088988,0.016382,0.029392,0.048724,-0.007333
INVE,2014-09,2014-09-16,2014-09-18,126345000,199965,199965,0,0.158269,0.158269,4,4,4,5.928826,1,0,-0.095364,-0.378808,-0.696689,0.042113,0.084445,0.064428,0.030539,0.088988,0.016382,0.029392,0.048724,-0.007333
ASRV,2014-09,2014-09-15,2014-09-22,61083750,689.639983,689.639983,0,0.001129,0.001129,1,1,1,0.001798,0,1,-0.054622,-0.092437,-0.008403,0.059766,0.100199,0.062307,0.068246,0.127558,0.026384,0.047558,0.065041,-0.006602
GLBZ,2014-09,2014-09-23,2014-09-23,34465162,1300,1300,0,0.003772,0.003772,2,1,2,,0,1,-0.008353,0.069212,0.145585,0.058934,0.099258,0.066024,0.079690,0.137884,0.033029,0.054961,0.065105,-0.002521
MERC,2014-09,2014-09-22,2014-09-24,634495798,1587879.000000,0,1587879.000000,0.250258,0.000000,8,1,0,0.022878,0,0,0.329771,0.480916,0.056489,0.048553,0.062692,0.050855,0.073047,0.100582,0.021924,0.046910,0.041359,-0.013786
ADES,2014-10,2014-10-02,2014-10-06,454000500,7863750.000000,7863750.000000,0,1.732102,1.732102,1,1,1,0.218235,0,1,0.062295,-0.361311,-0.765246,0.039321,0.088472,0.083445,0.083414,0.159439,0.049256,0.033366,0.069400,0.028033
CBZ,2014-10,2014-10-15,2014-10-16,415327910,1999.879236,1999.879236,0,0.000482,0.000482,3,3,3,0.000508,1,0,-0.013986,0.089744,0.291375,0.089771,0.180377,0.190629,0.069215,0.181190,0.085628,0.074374,0.140710,0.113391
ASRV,2014-10,2014-10-15,2014-10-22,58640400,688.959960,688.959960,0,0.001175,0.001175,1,1,1,0.001912,0,1,-0.047210,0.000000,0.055794,0.063813,0.134211,0.150676,0.067201,0.161645,0.067628,0.059764,0.104050,0.086740
AUBN,2014-10,2014-10-23,2014-10-23,87432000,5592,5592,0,0.006396,0.006396,7,7,7,0.027650,0,0,-0.010672,0.060264,0.155053,0.067457,0.121714,0.165343,0.069914,0.146546,0.059311,0.063136,0.094111,0.086055
CROX,2014-10,2014-10-31,2014-11-04,944912000,231055.000000,231055.000000,0,0.024453,0.024453,2,2,2,0.112089,0,0,-0.060923,0.161880,-0.056571,0.019540,0.066501,0.146929,0.029950,0.050452,0.035578,0.024399,0.049343,0.067385
D,2014-11,2014-11-05,2014-11-06,43335956000,700904.452475,700904.452475,0,0.001617,0.001617,3,2,3,0.225806,0,1,0.085753,-0.012829,-0.038037,0.024212,0.062090,0.140966,0.033064,0.051643,0.037359,0.020254,0.038471,0.054830
CRWS,2014-11,2014-11-13,2014-11-17,74331360,35750.000000,35750.000000,0,0.048095,0.048095,1,1,1,0.053106,0,1,0.156863,0.153595,0.222222,0.043700,0.075917,0.094949,0.057439,0.087919,0.004225,0.033774,0.053133,0.025733
ATEC,2014-11,2014-11-10,2014-11-18,139530046,29028.400000,29028.400000,0,0.020804,0.020804,2,1,2,0.067357,0,0,-0.035714,-0.021429,-0.842857,0.035989,0.066807,0.107757,0.051305,0.080208,0.015302,0.027835,0.046787,0.036008
CBZ,2014-11,2014-11-17,2014-11-18,423566620,823.543188,823.543188,0,0.000194,0.000194,2,2,2,0.000483,0,0,-0.003476,0.090382,0.201622,0.035989,0.066807,0.107757,0.051305,0.080208,0.015302,0.027835,0.046787,0.036008
HGBL,2014-11,2014-11-17,2014-11-19,8450700,5000.000000,5000.000000,0,0.059167,0.059167,1,1,1,0.266667,1,0,0.333333,0.066667,-0.366667,0.042197,0.072307,0.113550,0.063890,0.093914,0.022038,0.029600,0.047692,0.036778
CDXS,2014-11,2014-11-18,2014-11-20,90806350,93800.000000,93800.000000,0,0.103297,0.103297,2,1,2,0.105533,0,1,0.495833,0.716667,0.558333,0.042643,0.073148,0.116213,0.052084,0.080576,0.017195,0.027121,0.048973,0.038787
ASRV,2014-11,2014-11-18,2014-11-24,58264500,3778.083251,3778.083251,0,0.006484,0.006484,2,2,2,0.027330,1,0,-0.031674,0.108597,0.081448,0.040560,0.049550,0.101296,0.042230,0.051702,0.016280,0.024728,0.026784,0.030543
HRI,2014-11,2014-11-24,2014-11-24,2068641066,2150612.000000,2150612.000000,0,0.103963,0.103963,2,2,2,0.238846,1,0,-0.053445,-0.157334,-0.340339,0.040560,0.049550,0.101296,0.042230,0.051702,0.016280,0.024728,0.026784,0.030543
CROX,2014-11,2014-11-21,2014-11-25,1035520000,215293.200000,215293.200000,0,0.020791,0.020791,2,2,2,1.095530,0,1,-0.196621,0.176651,-0.142089,0.039766,0.047907,0.100511,0.042891,0.050976,0.023467,0.028390,0.027508,0.031153
HASI,2014-11,2014-11-21,2014-11-25,336317868,19042.280000,19042.280000,0,0.005662,0.005662,2,2,2,0.015748,1,0,0.212401,0.484169,0.292876,0.039766,0.047907,0.100511,0.042891,0.050976,0.023467,0.028390,0.027508,0.031153
AUBN,2014-12,2014-12-01,2014-12-01,87140560,2005.200000,2005.200000,0,0.002301,0.002301,1,1,1,0.001900,0,0,0.054786,0.054786,0.200252,0.047505,0.059929,0.110566,0.078942,0.089278,0.058269,0.036031,0.038575,0.044669
INFU,2014-11,2014-11-26,2014-12-01,63306053,54400.000000,54400.000000,0,0.085932,0.085932,2,1,2,0.140481,1,0,-0.015038,0.199248,0.090226,0.047505,0.059929,0.110566,0.078942,0.089278,0.058269,0.036031,0.038575,0.044669
ARI,2014-12,2014-12-02,2014-12-03,827715827,292250.000000,292250.000000,0,0.035308,0.035308,1,1,1,1.349788,0,1,0.077966,0.084746,0.142373,0.032593,0.053560,0.078783,0.046415,0.078746,0.007339,0.016865,0.029630,0.009077
AGM,2014-12,2014-12-03,2014-12-04,318958200,58606.000000,58606.000000,0,0.018374,0.018374,1,1,1,0.306044,0,1,0.107213,0.082510,0.091403,0.034895,0.046111,0.104476,0.054509,0.073044,0.022322,0.019111,0.022042,0.029898
ARES,2014-12,2014-12-05,2014-12-08,2327035396,30049.560000,30049.560000,0,0.001291,0.001291,1,1,1,0.456043,0,1,0.167805,0.162927,-0.143415,0.033361,0.040264,0.107300,0.051082,0.081330,0.006510,0.014082,0.019149,0.021918
HASI,2014-12,2014-12-09,2014-12-10,346765613,13605.000000,13605.000000,0,0.003923,0.003923,1,1,1,0.118203,1,0,0.343124,0.499332,0.308411,0.021290,0.066307,0.109522,0.050423,0.096719,0.003422,0.012164,0.048715,0.033855
AXGN,2014-12,2014-12-10,2014-12-11,55725000,30600.000000,30600.000000,0,0.054913,0.054913,1,1,1,,1,0,-0.024169,-0.051360,0.504532,0.023087,0.062724,0.078853,0.063653,0.095028,-0.022855,0.019913,0.046861,0.008704
CROX,2014-12,2014-12-10,2014-12-12,1002351000,252000.000000,252000.000000,0,0.025141,0.025141,1,1,1,4.545455,0,1,-0.021434,0.254740,-0.120363,0.029841,0.065651,0.098902,0.072856,0.105226,-0.017960,0.030299,0.055872,0.030481
CBZ,2014-12,2014-12-15,2014-12-16,401758269,823.602500,823.602500,0,0.000205,0.000205,2,2,2,0.000511,0,0,0.090470,0.136309,0.250905,0.072890,0.094779,0.152238,0.094651,0.122472,0.023304,0.056653,0.073015,0.072461
HGBL,2014-12,2014-12-15,2014-12-16,6478870,324900.000000,324900.000000,0,5.014763,5.014763,6,6,6,0.610002,1,0,0.826087,0.173913,-0.130435,0.072890,0.094779,0.152238,0.094651,0.122472,0.023304,0.056653,0.073015,0.072461
INFU,2014-12,2014-12-16,2014-12-16,61299876,50892.820000,50892.820000,0,0.083023,0.083023,3,1,3,0.106481,1,0,-0.043636,0.178182,0.054545,0.072890,0.094779,0.152238,0.094651,0.122472,0.023304,0.056653,0.073015,0.072461
ATEC,2014-12,2014-12-10,2014-12-17,127738774,2926.300000,2926.300000,0,0.002291,0.002291,1,1,1,0.011508,0,0,0.069231,0.092308,-0.838462,0.064065,0.078254,0.115232,0.070404,0.087234,-0.018024,0.048745,0.054054,0.035775
HRI,2014-12,2014-12-15,2014-12-17,1825771056,56244361.680000,0,56244361.680000,3.080581,0.000000,1,1,0,0.053423,0,0,0.025742,-0.040501,-0.323837,0.064065,0.078254,0.115232,0.070404,0.087234,-0.018024,0.048745,0.054054,0.035775
HEI,2014-12,2014-12-18,2014-12-19,3874736414,1789853.217600,1551061.218000,238791.999600,0.046193,0.040030,21,11,19,1.647385,1,0,0.032933,0.015437,-0.124185,0.042742,0.058209,0.075243,0.063534,0.082526,-0.042193,0.023331,0.030307,-0.003341
AUBN,2015-01,2015-01-08,2015-01-08,86229810,5717.700800,5717.700800,0,0.006631,0.006631,7,7,7,0.028401,0,0,0.064943,0.158890,0.254098,0.041157,0.031131,0.016990,0.056370,0.038882,-0.112446,0.019050,0.004410,-0.048683
CBZ,2015-01,2015-01-15,2015-01-15,407315160,823.303250,823.303250,0,0.000202,0.000202,2,2,2,0.000496,0,0,0.105201,0.171395,0.134752,0.083142,0.128432,0.022098,0.104726,0.107958,-0.115431,0.061743,0.076708,-0.036803
ASRV,2014-12,2014-12-31,2015-01-23,59003630,1344.340229,1344.340229,0,0.002278,0.002278,4,3,4,0.005232,1,0,0.059361,0.127854,0.041096,0.062631,0.070473,-0.009619,0.068827,0.036819,-0.148650,0.037151,0.024275,-0.065619
FARM,2015-02,2015-02-09,2015-02-11,375186500,152080.800000,152080.800000,0,0.040535,0.040535,3,3,3,0.732735,0,0,0.029614,0.011588,0.117597,0.033191,0.059619,-0.069192,0.028544,0.011845,-0.194854,0.019423,0.019014,-0.098052
CMS,2015-02,2015-02-11,2015-02-12,9774636000,71411.400000,71411.400000,0,0.000731,0.000731,1,1,1,0.204478,0,1,-0.053259,0.007154,0.139905,0.036203,0.045768,-0.065926,0.027743,-0.002880,-0.188826,0.020282,0.008113,-0.088254
ASRV,2015-01,2015-01-27,2015-02-23,55610450,80813.519800,80813.519800,0,0.145321,0.145321,6,4,6,0.224741,1,0,0.144860,0.112150,0.051402,0.008640,-0.088507,-0.054450,0.009088,-0.091073,-0.166525,0.002006,-0.094406,-0.070618
BRTX,2015-02,2015-02-20,2015-02-24,16704000,300000000000,0,300000000000,1795977.011494,0.000000,1,1,0,0.321027,0,0,-0.156250,-0.119792,-0.572917,0.007830,-0.092652,-0.046175,0.007753,-0.099177,-0.159592,-0.000857,-0.107625,-0.069044
D,2015-02,2015-02-23,2015-02-24,43445810000,3232348.501445,3232348.501445,0,0.007440,0.007440,5,4,5,3.586131,0,1,-0.025991,-0.034581,-0.002423,0.007830,-0.092652,-0.046175,0.007753,-0.099177,-0.159592,-0.000857,-0.107625,-0.069044
CBZ,2015-02,2015-02-25,2015-02-25,434276920,90183.553264,90183.553264,0,0.020766,0.020766,3,3,3,0.847961,0,0,0.021064,0.044346,0.166297,0.026668,-0.044581,-0.034417,0.018982,-0.077344,-0.152800,0.009496,-0.072536,-0.056919
