ticker,yr,fecha,f4,sector,ret,ps,mcap,mom,r40,sdmb,sdcr,mb,cr
AVD,2007,2007-03-08,2008-03-05,desconocido,-1.97,2.1500,416.6,-6.86,0.0898,0.02563,0.14085,0.4371,-0.1045
AVNT,2007,2007-01-30,2008-02-06,Basic Materials,-14.81,0.2600,681.8,-13.83,-0.1258,0.00771,0.15394,0.1297,-0.1635
AVTA,2007,2007-02-01,2008-02-05,desconocido,-57.59,2.3900,888.5,-5.26,-0.0571,0.04574,0.27469,0.4320,0.0321
AXON,2007,2007-02-21,2008-02-14,Industrials,38.88,7.8200,529.6,17.96,0.7268,0.05236,0.39673,0.6326,0.5298
AXR,2007,2007-03-19,2008-03-10,desconocido,-43.71,2.6400,539.5,65.19,0.4498,0.10598,0.34209,0.3478,0.1855
AZTA,2007,2007-02-06,2008-02-11,Healthcare,-18.86,1.4100,1067.5,6.60,0.5863,0.02992,0.47982,0.3119,0.5048
AZZ,2007,2007-01-05,2008-01-04,Industrials,27.61,1.3200,304.9,59.57,0.6028,0.03661,0.11968,0.2618,0.4746
BAK,2007,2007-02-08,2008-02-20,Basic Materials,9.80,0.4500,2530.6,17.98,0.3403,0.06188,0.23936,0.2423,-0.0193
BALL,2007,2007-01-25,2008-01-24,Consumer Cyclical,-8.18,0.7200,4767.5,12.65,0.3196,0.00921,0.07720,0.1782,0.2328
BANC,2007,2007-02-28,2008-03-10,Financial Services,-38.54,7.2700,347.0,-3.73,0.3816,0.06894,0.07949,0.4082,0.2304
BAP,2007,2007-02-08,2008-02-06,Financial Services,54.15,2.6400,3667.1,11.13,0.3506,0.03100,0.19307,0.7919,0.1639
BBBY,2007,2007-04-11,2008-04-09,desconocido,-12.84,0.6900,4566.0,-6.79,0.3391,0.00872,0.02360,0.4326,0.1838
BBOX,2007,2007-03-31,2008-05-30,desconocido,-21.31,0.7500,646.2,-27.70,0.5659,0.01619,0.22122,0.3651,0.4897
BBW,2007,2007-02-20,2008-02-14,desconocido,-62.83,1.3900,572.5,19.25,0.3821,0.03772,0.08380,0.5300,0.2083
BC,2007,2007-01-25,2008-01-31,Consumer Cyclical,-43.27,0.5400,3083.2,5.64,-0.0574,0.01714,0.09825,0.1959,-0.0797
BDC,2007,2007-02-08,2008-02-07,Technology,-9.35,1.5400,2303.5,18.75,0.0940,0.01568,0.50839,0.2069,0.0436
BECN,2007,2007-02-08,2008-02-08,desconocido,-52.15,0.5500,847.5,-19.63,0.1740,0.00307,0.28518,0.2413,0.1186
BELFA,2007,2007-03-16,2008-03-17,desconocido,3.89,1.3400,341.6,5.11,0.1438,0.02395,0.07577,0.2253,0.0686
BELFB,2007,2007-02-15,2008-02-14,Technology,-15.69,1.5200,387.5,-0.82,0.1438,0.02395,0.07577,0.2253,0.0686
