yr,ticker,sec,mb,cr,r40,mc,mom,ret,qqq
2007,HBM,Basi,0.949,0.777,0.946,0.739,47.2,-4.1,-1.6
2007,HEI,Indu,0.282,0.387,0.726,0.425,4.9,25.9,2.7
2007,HL,Basi,0.906,0.947,0.975,0.412,45.1,28.5,-3.7
2007,HLX,Ener,0.617,0.633,0.893,0.839,2.5,-3.0,-1.7
2007,HNI,Cons,0.167,0.195,0.235,0.738,13.9,-33.2,-1.2
2007,HP,Ener,0.572,0.422,0.921,0.817,22.5,34.5,1.1
2007,HTLD,Indu,0.736,0.075,0.045,0.597,3.4,-3.9,0.6
2007,HUBG,Indu,0.048,0.028,0.218,0.496,34.7,-7.5,-0.1
2007,HUN,Basi,0.478,0.526,0.082,0.978,13.7,9.4,-3.4
2007,HURN,Indu,0.236,0.383,0.881,0.441,54.2,-7.2,-3.6
2007,IAG,Basi,0.944,0.962,0.990,0.663,-11.8,2.4,1.9
2007,IESC,Indu,0.397,0.471,0.066,0.075,51.3,-11.2,6.4
2007,IFF,Basi,0.072,0.152,0.484,0.944,21.5,-9.6,1.6
2007,IIIN,Indu,0.465,0.525,0.144,0.019,-14.7,-47.3,2.3
2007,IOSP,Basi,0.437,0.545,0.606,0.277,84.2,-44.4,-2.1
2007,IT,Indu,0.267,0.245,0.393,0.718,23.9,-32.3,-2.0
2007,J,Indu,0.268,0.059,0.566,0.925,6.0,84.4,6.8
2007,JHX,Basi,0.087,0.415,0.013,0.896,39.2,-25.7,-6.7
2007,KAI,Indu,0.252,0.764,0.738,0.072,4.2,3.2,-1.8
2007,KBH,Cons,0.830,0.421,0.280,0.930,18.4,-65.4,3.1
2007,KEX,Indu,0.037,0.158,0.635,0.670,18.7,18.9,0.3
2007,KFRC,Indu,0.260,0.446,0.504,0.233,17.7,-37.8,1.2
2007,KNX,Indu,0.318,0.238,0.494,0.494,14.7,-22.1,-0.2
2007,KRO,Basi,0.469,0.110,0.287,0.576,6.4,-39.2,0.7
2007,LAD,Cons,0.025,0.201,0.312,0.213,18.6,-52.5,-1.2
2007,LCII,Cons,0.120,0.635,0.067,0.220,2.1,-7.2,-0.1
2007,LEU,Ener,0.745,0.858,0.274,0.531,55.5,-41.8,-1.8
2007,LKQ,Cons,0.116,0.279,0.780,0.478,-5.4,73.9,3.5
2007,LNN,Indu,0.499,0.698,0.639,0.067,7.4,87.3,22.5
2007,LYTS,Indu,0.274,0.413,0.427,0.103,9.3,-32.1,0.5
2007,LZB,Cons,0.296,0.191,0.073,0.308,5.4,-41.5,-0.1
2007,MATV,Basi,0.362,0.037,0.116,0.095,32.0,0.8,1.5
2007,MATX,Indu,0.393,0.211,0.277,0.474,11.7,-10.1,1.9
2007,MCRI,Cons,0.311,0.035,0.503,0.148,27.5,-19.3,-2.4
2007,MEOH,Basi,0.805,0.676,0.889,0.740,-6.6,-3.1,1.3
2007,MGRC,Indu,0.877,0.679,0.424,0.336,20.9,-34.1,-2.2
2007,MHO,Cons,0.216,0.562,0.227,0.185,0.8,-55.6,-1.3
2007,MIDD,Indu,0.248,0.161,0.765,0.314,45.3,11.6,2.8
