yr,ticker,sec,mb,cr,r40,mc,mom,ret,qqq
2008,HEI,Indu,0.186,0.334,0.642,0.552,24.8,-29.2,-41.3
2008,HL,Basi,0.835,0.924,0.118,0.553,25.8,-83.0,-8.6
2008,HLIO,Indu,0.234,0.067,0.681,0.139,58.8,-47.8,-29.2
2008,HLX,Ener,0.919,0.741,0.649,0.849,-1.6,-91.3,-5.1
2008,HNI,Cons,0.094,0.297,0.193,0.606,-33.5,-60.1,-16.2
2008,HP,Ener,0.162,0.528,0.810,0.940,41.0,-36.9,-30.8
2008,HTLD,Indu,0.937,0.106,0.042,0.592,-8.8,-10.4,-48.5
2008,HUBG,Indu,0.015,0.097,0.238,0.486,-8.1,-24.2,-31.1
2008,HURN,Indu,0.309,0.636,0.868,0.451,-9.3,-15.9,-48.5
2008,IAG,Basi,0.936,0.940,0.877,0.760,2.0,12.8,-63.3
2008,ICFI,Indu,0.808,0.961,0.888,0.054,28.6,-0.8,-56.3
2008,IFF,Basi,0.076,0.111,0.396,0.864,-18.0,-29.4,-34.1
2008,IOSP,Basi,0.541,0.562,0.258,0.097,-39.7,-72.8,-12.9
2008,IT,Indu,0.340,0.129,0.634,0.654,-21.0,-13.3,-38.3
2008,JHX,Basi,0.220,0.322,0.117,0.802,-25.1,-41.5,-13.4
2008,KAI,Indu,0.135,0.598,0.456,0.130,10.3,-72.9,-18.5
2008,KEX,Indu,0.124,0.153,0.730,0.769,18.7,-42.2,-29.7
2008,KFRC,Indu,0.142,0.084,0.297,0.060,-39.6,-11.3,-34.3
2008,KMX,Cons,0.007,0.183,0.237,0.963,-18.8,-37.9,-29.7
2008,KNX,Indu,0.589,0.258,0.363,0.481,-13.5,-21.6,-39.3
2008,KRO,Basi,0.597,0.132,0.195,0.433,-49.2,-62.4,-21.2
2008,LCII,Cons,0.300,0.622,0.195,0.264,-1.3,-71.7,-13.5
2008,LEU,Ener,0.763,0.888,0.372,0.474,-39.5,-41.2,-30.9
2008,LKQ,Cons,0.027,0.754,0.957,0.835,106.0,-47.5,-28.8
2008,LNN,Indu,0.294,0.549,0.928,0.498,176.4,-69.5,-11.4
2008,LQDT,Cons,0.913,0.087,0.670,0.057,-39.5,-43.7,-24.8
2008,LXU,Basi,0.493,0.280,0.330,0.187,102.5,-60.6,-21.4
2008,LZB,Cons,0.346,0.226,0.114,0.138,-42.6,-88.4,-5.1
2008,MAN,Indu,0.114,0.156,0.547,0.981,-19.8,-51.8,-26.5
2008,MATV,Basi,0.483,0.225,0.321,0.075,-4.9,-9.8,-45.9
2008,MCRI,Cons,0.345,0.078,0.309,0.082,-19.9,-59.3,-21.9
2008,MEOH,Basi,0.924,0.708,0.732,0.753,-0.8,-60.2,-20.0
2008,MGRC,Indu,0.420,0.289,0.619,0.192,-37.3,1.5,-52.0
2008,MIDD,Indu,0.165,0.450,0.865,0.420,15.0,-67.3,-21.7
2008,MLI,Indu,0.534,0.790,0.448,0.222,-15.5,-24.9,-34.5
2008,MLKN,Cons,0.063,0.130,0.295,0.658,-23.6,-66.4,-14.8
2008,MLM,Basi,0.696,0.279,0.379,0.967,-14.4,-24.6,-33.6
2008,MOD,Indu,0.204,0.174,0.150,0.196,-41.6,-93.8,-3.0
2008,MOV,Cons,0.154,0.184,0.135,0.259,-24.9,-61.5,-14.2
2008,MTRN,Basi,0.619,0.487,0.475,0.217,-40.2,-46.5,-24.5
2008,MTX,Basi,0.396,0.082,0.561,0.480,-8.5,-29.5,-35.9
2008,MTZ,Indu,0.258,0.621,0.357,0.243,-28.1,18.6,-72.2
2008,MWA,Indu,0.348,0.994,0.163,0.445,-44.1,-11.5,-42.9
2008,MYE,Cons,0.535,0.442,0.429,0.153,-31.4,-72.0,-16.0
2008,NAT,Indu,0.921,0.895,0.660,0.421,-16.6,0.2,-43.4
2008,NPO,Indu,0.307,0.115,0.252,0.300,-22.8,-29.7,-32.1
2008,NWPX,Indu,0.160,0.486,0.247,0.064,12.0,-25.6,-37.1
2008,NX,Basi,0.775,0.684,0.015,0.705,33.7,-85.3,-8.5
2008,OII,Ener,0.295,0.346,0.811,0.898,53.6,-53.3,-23.5
2008,OIS,Ener,0.219,0.541,0.612,0.495,29.3,-56.6,-21.5
2008,OKE,Ener,0.253,0.729,0.655,0.976,14.4,-50.2,-25.9
2008,OLN,Basi,0.693,0.849,0.039,0.585,6.6,-10.3,-47.9
2008,ORLY,Cons,0.012,0.030,0.366,0.852,-16.3,-1.6,-48.9
2008,OSK,Indu,0.033,0.877,0.813,0.870,-19.8,-74.6,-12.7
2008,OXM,Cons,0.246,0.993,0.958,0.106,-55.2,-68.1,-13.3
2008,PAAS,Basi,0.802,0.948,0.592,0.832,25.7,-52.8,-23.1
2008,PDS,Ener,0.766,0.835,0.207,0.954,-10.8,-80.2,-8.0
2008,PENN,Cons,0.168,0.904,0.319,0.457,8.1,-65.0,-15.4
2008,PII,Cons,0.187,0.436,0.612,0.600,-7.0,-46.0,-25.0
2008,PKE,Indu,0.132,0.469,0.304,0.294,3.2,-37.3,-28.2
2008,PKG,Cons,0.555,0.127,0.343,0.801,11.9,-46.5,-26.8
2008,PNR,Indu,0.216,0.040,0.454,0.747,1.9,-31.0,-33.4
2008,POOL,Indu,0.193,0.484,0.100,0.456,-46.6,-22.6,-37.8
2008,POWL,Indu,0.222,0.589,0.486,0.174,27.9,-33.9,-24.1
2008,PTEN,Ener,0.726,0.852,0.192,0.879,-4.4,-55.9,-20.1
2008,PVH,Cons,0.153,0.265,0.286,0.723,-37.0,-53.4,-24.6
2008,PWR,Indu,0.352,0.508,0.808,0.942,6.2,-34.9,-36.6
2008,RBA,Indu,0.409,0.894,0.978,0.795,26.9,-37.6,-32.6
2008,RBC,Indu,0.298,0.073,0.478,0.378,-23.2,-9.4,-40.0
2008,RES,Ener,0.592,0.499,0.637,0.471,-38.9,-17.9,-41.2
2008,RGLD,Basi,0.843,0.828,0.823,0.427,-8.2,53.5,-78.1
2008,RHI,Indu,0.016,0.028,0.502,0.925,-38.6,-27.0,-37.6
2008,ROST,Cons,0.159,0.069,0.256,0.912,-16.4,22.4,-51.8
2008,RRX,Indu,0.073,0.378,0.699,0.543,-21.5,-11.4,-38.4
2008,RS,Basi,0.145,0.846,0.354,0.919,18.4,-60.3,-19.4
2008,RUSHA,Cons,0.235,0.688,0.063,0.168,32.3,-40.8,-23.2
2008,SAH,Cons,0.000,0.057,0.255,0.396,-32.2,-66.6,-9.6
2008,SGI,Cons,0.702,0.658,0.094,0.336,-32.4,-61.2,-17.4
2008,SHOO,Cons,0.280,0.615,0.127,0.078,-36.0,-6.7,-53.2
2008,SKY,Cons,0.442,0.697,0.058,0.526,-28.6,-28.5,-41.0
2008,SM,Ener,0.954,0.588,0.814,0.499,-6.5,-54.2,-23.2
2008,SMG,Basi,0.871,0.126,0.106,0.739,-37.1,-6.7,-47.3
2008,SSD,Basi,0.481,0.337,0.145,0.534,-26.9,-15.5,-37.3
2008,STLD,Basi,0.601,0.739,0.931,1.000,51.6,-58.8,-22.0
2008,STN,Indu,0.982,0.727,0.510,0.633,39.0,-42.0,-30.3
2008,SWK,Indu,0.208,0.189,0.552,0.924,-7.5,-36.7,-32.4
2008,TCOM,Cons,0.264,0.921,0.190,0.903,54.2,-37.8,-17.3
2008,TDG,Indu,0.127,0.307,0.892,0.745,35.4,-21.8,-36.4
2008,TFII,Indu,0.040,0.675,0.777,0.322,-37.6,-58.3,-20.7
2008,THO,Cons,0.156,0.414,0.204,0.636,-36.0,-63.4,-20.8
2008,TK,Ener,0.624,0.483,0.477,0.861,-24.5,-56.7,-20.2
2008,TKR,Indu,0.393,0.574,0.744,0.720,2.1,-41.9,-28.3
2008,TRN,Indu,0.141,0.372,0.759,0.664,-31.7,-65.3,-17.5
2008,TSCO,Cons,0.088,0.160,0.435,0.556,-33.3,1.8,-52.2
2008,TTEK,Indu,0.100,0.552,0.610,0.507,5.0,12.4,-57.7
2008,UAA,Cons,0.225,0.351,0.760,0.717,-14.7,-51.7,-23.5
2008,UFPI,Basi,0.265,0.501,0.142,0.289,-34.4,-34.2,-28.5
2008,ULH,Indu,0.526,0.348,0.213,0.034,-26.0,-46.4,-28.0
2008,URBN,Cons,0.262,0.217,0.765,0.994,15.6,-44.0,-30.4
2008,URI,Indu,0.721,0.532,0.763,0.733,-34.4,-76.2,-12.7
2008,VMI,Indu,0.075,0.192,0.538,0.754,49.4,-52.4,-21.2
2008,WAB,Indu,0.244,0.423,0.663,0.663,1.8,-26.6,-41.3
2008,WCC,Indu,0.001,0.205,0.301,0.687,-34.9,-55.9,-21.5
2008,WCN,Indu,0.115,0.004,0.684,0.711,2.4,-5.6,-38.2
2008,WEN,Cons,0.883,0.991,0.300,0.366,-55.1,-41.4,-13.2
2008,WFG,Basi,0.993,0.694,0.738,0.531,-19.3,-22.6,-38.9
2008,WGO,Cons,0.399,0.420,0.084,0.232,-45.6,-70.2,-13.5
2008,WLK,Basi,0.834,0.687,0.855,0.492,-47.6,-20.8,-39.4
2008,WOR,Indu,0.456,0.159,0.226,0.397,-17.8,-48.7,-21.6
2008,WPM,Basi,0.697,0.949,0.898,0.937,53.6,-55.0,-22.6
2008,WSO,Indu,0.003,0.312,0.178,0.460,-31.4,-0.3,-43.6
2008,WTI,Ener,0.772,0.676,0.790,0.840,36.3,-73.5,-14.4
2008,WWW,Cons,0.195,0.010,0.280,0.516,-24.3,-21.5,-38.1
2010,AAL,Indu,0.760,0.275,0.144,0.376,-23.9,76.3,34.7
2010,AAP,Cons,0.143,0.076,0.285,0.916,31.4,51.4,35.1
2010,ABG,Cons,0.028,0.419,0.591,0.068,315.2,56.3,37.6
2010,ACM,Indu,0.000,0.374,0.352,0.847,0.4,4.5,26.4
2010,AGCO,Indu,0.137,0.668,0.163,0.838,33.2,68.1,42.4
2010,AGI,Basi,0.761,0.820,0.964,0.636,143.3,23.8,19.3
2010,ALB,Basi,0.402,0.441,0.594,0.872,62.2,58.1,32.3
2010,ALGT,Indu,0.920,0.451,0.623,0.469,34.5,-7.4,19.0
2010,ALK,Indu,0.955,0.160,0.397,0.525,18.3,86.4,42.6
2010,ALV,Cons,0.588,0.697,0.838,0.814,123.8,79.4,42.3
2010,AMSC,Indu,0.707,0.614,0.959,0.635,115.5,-23.6,16.9
2010,ARLP,Ener,0.598,0.157,0.441,0.616,34.0,65.0,36.0
2010,AROC,Ener,0.448,0.964,0.210,0.412,28.9,0.4,21.2
2010,ASR,Indu,0.590,0.530,0.672,0.619,72.3,1.5,21.7
2010,ATI,Indu,0.715,0.560,0.127,0.948,90.3,36.6,28.6
2010,AVAV,Indu,0.559,0.491,0.693,0.214,-22.2,18.7,21.6
2010,AVNT,Basi,0.543,0.473,0.357,0.320,202.1,86.1,46.9
2010,AXON,Indu,0.469,0.584,0.869,0.146,53.8,-41.7,12.5
2010,AZZ,Indu,0.381,0.537,0.205,0.108,16.8,21.2,20.3
2010,BALL,Cons,0.154,0.102,0.501,0.987,25.8,41.9,33.2
2010,BC,Cons,0.578,0.445,0.052,0.450,282.9,88.2,44.0
2010,BCPC,Basi,0.664,0.806,0.667,0.290,65.0,62.1,36.7
2010,BJRI,Cons,0.964,0.033,0.518,0.252,103.9,75.5,43.2
2010,BTE,Ener,0.776,0.965,0.767,0.900,252.7,68.0,28.9
2010,BWA,Cons,0.587,0.667,0.735,0.934,62.2,102.0,49.7
2010,BYD,Cons,0.242,0.003,0.226,0.325,80.0,30.8,27.7
2010,CAKE,Cons,0.996,0.066,0.266,0.563,133.8,34.6,33.1
2010,CAR,Indu,0.798,0.197,0.083,0.578,2562.0,16.8,27.8
2010,CASY,Cons,0.441,0.620,0.732,0.630,66.8,30.5,25.8
2010,CBRL,Cons,0.214,0.006,0.393,0.448,102.7,26.0,31.3
2010,CBT,Basi,0.426,0.690,0.435,0.652,70.3,54.2,32.1
2010,CBZ,Indu,0.640,0.112,0.229,0.076,-23.2,15.0,27.9
2010,CE,Basi,0.636,0.608,0.504,0.971,214.9,38.7,31.9
2010,CECO,Indu,0.493,0.456,0.012,0.124,31.6,-24.0,13.3
2010,CHH,Cons,0.167,0.243,0.498,0.683,30.1,30.2,33.4
2010,CLH,Indu,0.249,0.316,0.355,0.574,3.2,71.8,37.4
2010,CLMT,Basi,0.677,0.849,0.282,0.281,62.6,19.9,28.5
2010,CMG,Cons,0.729,0.100,0.643,0.852,113.0,150.0,61.5
2010,CMP,Basi,0.747,0.747,0.429,0.715,3.6,44.2,37.5
2010,CODI,Indu,0.051,0.891,0.247,0.201,61.4,11.9,20.1
2010,CPA,Indu,0.881,0.368,0.686,0.735,69.4,13.3,29.2
2010,CRI,Cons,0.348,0.111,0.624,0.606,70.8,-4.5,11.6
2010,CRK,Ener,0.748,0.853,0.076,0.646,-7.3,-28.7,18.3
2010,CROX,Cons,0.726,0.646,0.239,0.304,543.8,120.2,46.6
2010,CRS,Basi,0.672,0.426,0.092,0.541,50.0,48.9,31.9
2010,CSL,Basi,0.368,0.418,0.402,0.723,82.3,8.9,25.6
2010,CTRN,Cons,0.068,0.162,0.649,0.134,93.6,-27.5,11.3
2010,CW,Indu,0.108,0.303,0.419,0.571,1.4,20.4,29.1
2010,DDS,Cons,0.477,0.028,0.237,0.613,567.7,109.5,47.5
2010,DECK,Cons,0.523,0.543,0.830,0.581,100.7,146.3,52.1
2010,DINO,Ener,0.731,0.878,0.927,0.587,3.2,113.1,45.1
2010,DKS,Cons,0.140,0.032,0.553,0.833,98.2,48.0,26.9
2010,DY,Indu,0.220,0.186,0.151,0.031,78.9,109.7,49.4
2010,EBF,Indu,0.306,0.310,0.512,0.151,97.5,1.4,13.8
2010,EMBJ,Indu,0.850,0.539,0.098,0.949,59.9,46.4,20.7
2010,ENS,Indu,0.336,0.728,0.279,0.459,119.6,67.7,40.8
2010,EPAC,Indu,0.150,0.429,0.326,0.617,155.6,33.5,16.0
2010,EQT,Ener,0.962,0.541,0.521,0.850,25.2,3.4,24.2
2010,ESLT,Indu,0.111,0.416,0.418,0.789,41.1,-18.9,13.1
2010,EXP,Basi,0.585,0.549,0.116,0.460,10.7,25.1,25.3
2010,EXPE,Cons,0.109,0.274,0.712,0.843,169.2,19.6,29.4
2010,FCN,Indu,0.125,0.326,0.652,0.697,-11.4,-2.8,20.3
2010,FIX,Indu,0.156,0.464,0.131,0.144,42.2,9.4,23.4
2010,FMC,Basi,0.342,0.386,0.319,0.856,14.2,57.9,40.6
2010,FRO,Indu,0.753,0.917,0.049,0.710,29.1,-2.9,23.1
2010,FSS,Indu,0.146,0.095,0.130,0.057,7.4,-28.2,14.7
2010,FUL,Basi,0.416,0.211,0.383,0.502,73.0,-13.5,15.9
2010,FWRD,Indu,0.255,0.466,0.345,0.291,0.5,30.2,35.1
2010,GEL,Ener,0.354,0.980,0.492,0.360,93.3,49.5,32.8
2010,GIII,Cons,0.658,0.755,0.576,0.130,368.1,33.2,18.1
2010,GIL,Cons,0.771,0.591,0.726,0.801,120.0,39.3,35.1
2010,GLNG,Ener,0.870,0.208,0.777,0.410,156.3,116.3,47.5
2010,GME,Cons,0.236,0.383,0.421,0.891,-19.2,-0.2,14.1
2010,GNTX,Cons,0.629,0.687,0.907,0.786,118.4,64.4,38.4
2010,GPK,Cons,0.268,0.812,0.268,0.524,113.0,44.4,31.7
2010,GPRE,Basi,0.961,0.967,0.972,0.127,457.0,-29.4,15.0
2010,GRC,Indu,0.202,0.360,0.148,0.100,2.6,34.9,33.2
2010,GT,Cons,0.613,0.370,0.517,0.876,124.1,-12.5,19.8
2010,HBM,Basi,0.837,0.981,0.999,0.707,207.0,29.5,26.7
2010,HEI,Indu,0.240,0.262,0.604,0.534,36.9,50.3,36.1
2010,HL,Basi,0.968,0.951,0.993,0.552,217.6,95.4,41.4
